NAICS,GROSS SALES,Taxable sales,sales tax,use tax,Total tax,Number
5629,"$72,778,538 ","$3,699,133 ","$240,450 ","$102,798 ","$343,248 ",69
6110,"$78,692,128 ","$4,725,842 ","$307,194 ","$78,482 ","$385,676 ",220
6111,"$38,217,264 ","$11,740,317 ","$763,104 ","$57,200 ","$820,304 ",311
6112,"$5,036,772 ","$1,896,483 ","$123,273 ",$0 ,"$123,273 ",5
6113,"$267,274,619 ","$42,923,597 ","$2,791,455 ","$139,153 ","$2,930,608 ",99
6114,"$24,477,617 ","$4,691,578 ","$304,952 ","$10,527 ","$315,479 ",34
6115,"$36,284,750 ","$6,537,874 ","$424,980 ","$42,791 ","$467,771 ",29
6116,"$123,378,327 ","$7,568,258 ","$492,214 ","$34,446 ","$526,660 ",321
6117,"$1,663,150 ","$326,584 ","$21,228 ","$1,905 ","$23,133 ",20
6211,"$2,279,843,251 ","$11,262,611 ","$732,072 ","$3,008,488 ","$3,740,560 ",465
