County,Year,Number of jurisdictions reporting,Total acres,Total estimated value,Estimated value per acre
Sibley,2001,24,359149,630328482,1755
Sibley,2002,24,358508,629367211,1756
Sibley,2003,24,357894,690558604,1930
Sibley,2004,24,357255,784934610,2197
Sibley,2005,24,356653,938069331,2630
Sibley,2006,24,355603,1094383503,3078
Sibley,2007,24,355262,1131267578,3184
Sibley,2008,24,354544,1197993595,3379
St. Louis,2000,110,165716,48738200,294
St. Louis,2001,110,164659,58029300,352
St. Louis,2002,110,164748,66303700,402
St. Louis,2003,111,164613,84840900,515
St. Louis,2004,111,164754,105231400,639
St. Louis,2005,111,164816,116618000,708
St. Louis,2006,111,164363,153259200,932
St. Louis,2007,111,162998,166710700,1023
St. Louis,2008,111,161867,164815100,1018
Stearns,2000,66,741274,612877070,827
Stearns,2001,66,738918,675787135,915
Stearns,2002,66,735227,787792145,1071
Stearns,2003,64,729648,1150192430,1576
Stearns,2004,64,725335,1324543030,1826
Stearns,2005,64,720826,1564223050,2170
Stearns,2006,64,715881,1827945750,2553
Stearns,2007,64,713117,2188579650,3069
Stearns,2008,64,709181,2349632350,3313
Steele,2000,17,251932,402273515,1597
Steele,2001,17,251869,414957953,1648
Steele,2002,17,251219,453455633,1805
Steele,2003,17,250607,482726626,1926
Steele,2004,17,250032,526092076,2104
Steele,2005,17,249395,616563472,2472
Steele,2006,17,249042,698830353,2806
Steele,2007,17,247975,768336059,3098
Steele,2008,17,246725,833816934,3380
Stevens,2000,21,335313,284270800,848
Stevens,2001,21,335036,284047600,848
Stevens,2002,21,334857,303378500,906
Stevens,2003,21,334538,347074000,1037
Stevens,2004,21,334360,444151400,1328
Stevens,2005,21,333910,499909100,1497
Stevens,2006,21,333802,607424800,1820
Stevens,2007,21,333600,718638800,2154
Stevens,2008,21,333434,755601300,2266
Swift,2000,29,446775,371697505,832
Swift,2001,29,446603,392155194,878
Swift,2002,29,446611,414939074,929
Swift,2003,29,446050,470356410,1054
Swift,2004,29,445262,559065700,1256
Swift,2005,29,446543,679067950,1521
Swift,2006,29,444485,841317900,1893
Swift,2007,29,444166,845632900,1904
Swift,2008,29,443180,999621660,2256
