County,Year,Number.of.jurisdictions.reporting,Total.acres,Total.estimated.value,Estimated.value.per.acre,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Douglas,2004,31,330887,415888800,1257,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2005,31,328769,522440100,1589,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2006,31,324743,660480950,2034,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2007,31,321021,690806350,2152,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Douglas,2008,31,316289,738957150,2336,041,B,Town/rural mix,EDR 4 - West Central,Northwest Minnesota
Faribault,2000,31,439422,699588300,1592,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2001,31,439192,697287100,1588,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2002,31,439037,742250200,1691,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2003,31,438677,792466100,1806,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2004,31,437950,890995400,2034,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2005,31,437790,983314200,2246,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2006,31,437627,1137414400,2599,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2007,31,437081,1203329100,2753,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Faribault,2008,31,435840,1334404600,3062,043,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Fillmore,2000,37,507283,621895690,1226,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2001,37,506927,626965290,1237,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2002,37,506196,745517050,1473,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2003,37,505089,805666650,1595,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2004,37,503744,905798350,1798,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2005,37,502206,1057869350,2106,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2006,37,501121,1271017600,2536,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2007,37,500165,1268702650,2537,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2008,37,499671,1467596250,2937,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2000,34,422046,630653089,1494,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2001,34,421286,687864722,1633,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2002,34,420223,689722282,1641,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2003,34,419316,716201999,1708,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2004,34,419115,837392841,1998,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2005,34,418647,1017257991,2430,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2006,34,418051,1097878461,2626,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2007,34,417732,1164143206,2787,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2008,34,417087,1251572136,3001,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2000,31,428747,611092650,1425,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2001,31,427312,677972600,1587,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2002,31,426565,761846400,1786,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2003,31,425767,814952900,1914,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2004,31,424611,957605300,2255,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2005,31,423699,1206341400,2847,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2006,31,422244,1472926600,3488,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2007,31,421311,1457952400,3461,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2008,31,420835,1543940700,3669,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Grant,2000,23,326029,284606200,873,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2001,23,325714,284274650,873,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2002,23,338149,285795150,845,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2003,23,337952,314246350,930,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2004,23,324753,366550880,1129,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2005,23,325035,426177580,1311,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2006,23,323270,462860500,1432,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
