County,Year,Number.of.jurisdictions.reporting,Total.acres,Total.estimated.value,Estimated.value.per.acre,countyfp,Dem_RUCA,Dem_Desc,edr,planning.region
Fillmore,2009,37,494697,1551183947,3136,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2010,37,457495,1575825286,3444,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2011,37,445241,1640834833,3685,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2012,37,439442,1936369195,4406,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2013,37,428677,2307427033,5383,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2014,37,428281,2743089690,6405,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2015,37,427539,2725996965,6376,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2016,37,423540,2181118567,5150,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Fillmore,2017,37,435384,2421245300,5561,045,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2009,34,374286,1484990235,3968,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2010,34,378590,1653027539,4366,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2011,34,413359,1748588808,4230,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2012,34,413354,2026017790,4901,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2013,34,412635,2803171015,6793,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2014,34,412250,3072481700,7453,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2015,34,412071,277161e4,6726,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2016,34,411703,2620524800,6365,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Freeborn,2017,34,399154,2423326400,6071,047,B,Town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2009,31,368898,1412715892,3830,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2010,31,366664,1385145339,3778,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2011,31,366233,1476403746,4031,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2012,31,365201,1649129463,4516,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2013,31,360599,2205849158,6117,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2014,31,359449,2201798509,6125,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2015,31,358142,2148776199,6e3,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2016,31,357306,2094806283,5863,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Goodhue,2017,31,335136,2039412400,6085,049,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Grant,2009,23,294931,752915708,2553,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2010,23,300399,830012413,2763,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2011,23,300065,786222324,2620,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2012,23,299669,830018759,2770,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2013,23,299625,1105325566,3689,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2014,23,299094,1505673159,5034,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2015,23,299016,1685975500,5638,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2016,23,298974,1398484200,4678,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Grant,2017,23,300160,1474205400,4911,051,A,Entirely rural,EDR 4 - West Central,Northwest Minnesota
Hennepin,2009,47,56857,1326698673,23334,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2010,46,45780,1143998500,24989,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2011,46,46098,1026512800,22268,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2012,45,45517,901124900,19798,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2013,45,43390,787064100,18139,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2014,45,43015,758701e3,17638,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2015,45,41987,750927900,17885,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2016,45,41258,728181100,17649,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Hennepin,2017,45,46613,843212700,18090,053,D,Entirely urban,EDR 11 - 7 County Twin Cities,Seven County Mpls-St Paul
Houston,2009,24,178819,517596529,2895,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2010,24,178023,514212066,2888,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2011,24,173719,558586423,3215,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2012,24,160889,605765531,3765,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2013,24,160879,775012219,4817,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2014,24,160715,889297073,5533,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2015,24,160569,853144937,5313,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2016,24,160169,807457929,5041,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Houston,2017,24,161706,844262e3,5221,055,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Hubbard,2009,32,84790,179197264,2113,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2010,32,84811,174078079,2053,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2011,32,85083,169020473,1987,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2012,32,86370,182215796,2110,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2013,32,85942,177555803,2066,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2014,32,86237,189139801,2193,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2015,32,86652,193264573,2230,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2016,32,86395,172561908,1997,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Hubbard,2017,32,86305,180913600,2096,057,B,Town/rural mix,EDR 2 - Headwaters,Northwest Minnesota
Isanti,2009,16,105631,579115192,5482,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2010,16,192918,705427100,3657,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2011,16,162015,504928303,3117,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2012,16,148953,440667380,2958,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2013,16,123941,368522640,2973,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2014,16,122479,403756100,3297,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2015,16,120608,411101400,3409,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2016,16,113681,395032900,3475,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Isanti,2017,16,109519,393835600,3596,059,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Itasca,2009,93,64408,113181400,1757,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2010,92,65965,111774800,1694,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2011,92,65712,110244800,1678,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2012,92,66024,109531400,1659,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2013,92,65440,95604100,1461,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2014,92,63827,100515700,1575,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2015,92,61674,98032200,1590,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2016,91,62363,96179500,1542,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Itasca,2017,90,62369,97363700,1561,061,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Jackson,2009,26,410405,1653551721,4029,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2010,26,408955,1716870131,4198,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2011,26,408644,1883236095,4609,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2012,26,408495,2338376186,5724,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2013,26,408547,3236226194,7921,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2014,26,408019,3092306798,7579,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2015,26,407081,3030600774,7445,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2016,26,406674,3026979088,7443,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Jackson,2017,26,406642,2901791700,7136,063,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Kanabec,2009,20,119489,274490815,2297,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2010,20,109430,245004818,2239,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2011,20,108988,233394109,2141,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2012,20,106624,218282264,2047,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2013,20,107347,206249288,1921,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2014,20,107445,215021012,2001,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2015,20,107151,217384232,2029,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2016,20,105707,212368334,2009,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kanabec,2017,20,102571,206954300,2018,065,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Kandiyohi,2009,36,373720,1331034592,3562,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2010,36,376572,1322154543,3511,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2011,36,377155,1413800624,3749,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2012,36,380798,1722572893,4524,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2013,36,383906,2046361816,5330,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2014,36,384560,2290638716,5957,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2015,36,371126,2354052968,6343,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2016,36,385957,2233869928,5788,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kandiyohi,2017,36,373099,2184270400,5854,067,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Kittson,2009,39,473033,416480572,880,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2010,39,475221,525111480,1105,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2011,39,475274,528414626,1112,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2012,39,475649,625381087,1315,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2013,39,475850,799615988,1680,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2014,39,476294,887056656,1862,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2015,39,477356,887928342,1860,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2016,39,485378,892002075,1838,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Kittson,2017,39,515074,966875700,1877,069,A,Entirely rural,EDR 1 - Northwest,Northwest Minnesota
Koochiching,2009,11,119108,89831e3,754,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2010,11,106207,81005700,763,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2011,11,103875,78216e3,753,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2012,11,102345,75445700,737,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2013,11,94702,69875300,738,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2014,11,92645,68821e3,743,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2015,11,90686,74686300,824,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2016,11,90620,71062500,784,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Koochiching,2017,11,84699,68675200,811,071,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lac qui Parle,2009,29,432144,1171867400,2712,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2010,29,431947,1244255700,2881,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2011,29,431749,1246087300,2886,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2012,29,431853,1424016300,3297,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2013,29,431823,2037299700,4718,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2014,29,431823,2426474700,5619,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2015,29,431819,2224099800,5151,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2016,29,431594,2068162100,4792,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lac qui Parle,2017,29,431324,1920481200,4453,073,A,Entirely rural,EDR 6W- Upper Minnesota Valley,Southwest Minnesota
Lake,2009,10,933,2486e3,2665,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2010,10,1104,2890600,2618,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2011,10,1123,2918900,2599,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2012,10,1251,3096500,2475,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2013,10,1251,2881500,2303,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2014,10,1225,2911e3,2376,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2015,10,849,1952100,2299,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2016,10,859,2377800,2768,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake,2017,10,848,2489e3,2935,075,B,Town/rural mix,EDR 3 - Arrowhead,Northeast Minnesota
Lake of the Woods,2009,26,77084,56825900,737,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2010,26,78624,51468800,655,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2011,26,78241,51754500,661,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2012,26,77316,51464300,666,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2013,26,74914,50781100,678,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2014,26,72459,58397500,806,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2015,26,72303,62412e3,863,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2016,26,72932,63808946,875,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Lake of the Woods,2017,26,72650,58397400,804,077,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Le Sueur,2009,24,195579,982662076,5024,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2010,24,204048,997188820,4887,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2011,24,215842,1035372188,4797,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2012,24,220146,1211016727,5501,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2013,24,220441,1420886990,6446,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2014,24,220322,1449678104,6580,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2015,24,219660,1446747107,6586,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2016,24,220150,1446859569,6572,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Le Sueur,2017,24,219755,1482163600,6745,079,C,Urban/town/rural mix,EDR 9 - South Central,Southwest Minnesota
Lincoln,2009,20,316565,801617856,2532,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2010,20,315031,855171106,2715,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2011,20,315388,973908673,3088,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2012,20,315043,1149211917,3648,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2013,20,315170,1537444288,4878,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2014,20,315159,1762944217,5594,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2015,20,315176,1848733947,5866,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2016,20,314747,1846734345,5867,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lincoln,2017,20,312894,1402014400,4481,081,A,Entirely rural,EDR 8 - Southwest,Southwest Minnesota
Lyon,2009,31,412609,1362561197,3302,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2010,31,409234,1521271123,3717,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2011,31,407087,1680723452,4129,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2012,31,403197,2066587368,5126,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2013,31,403025,2747671385,6818,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2014,31,398480,3033550067,7613,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2015,31,398216,2828628699,7103,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2016,31,397864,2693853818,6771,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Lyon,2017,31,395910,2484380100,6275,083,B,Town/rural mix,EDR 8 - Southwest,Southwest Minnesota
Mahnomen,2009,19,167363,234005403,1398,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2010,19,181705,251875268,1386,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2011,19,182396,260064258,1426,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2012,19,183928,304988817,1658,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2013,19,183330,369866292,2017,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2014,19,183198,378746394,2067,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2015,19,183229,397097626,2167,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2016,19,173699,414293384,2385,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Mahnomen,2017,19,186427,421107500,2259,087,A,Entirely rural,EDR 2 - Headwaters,Northwest Minnesota
Marshall,2009,59,824843,768505300,932,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2010,59,845179,888417200,1051,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2011,59,845222,979632300,1159,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2012,59,844251,1190757800,1410,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2013,59,844436,1781287800,2109,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2014,59,842268,2130145200,2529,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2015,59,842166,2157921200,2562,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2016,59,842888,1886098400,2238,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Marshall,2017,59,842356,1753601500,2082,089,C,Urban/town/rural mix,EDR 1 - Northwest,Northwest Minnesota
Martin,2009,30,402277,1680941812,4179,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2010,30,430382,1938247062,4504,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2011,30,430449,2056060873,4777,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2012,30,430217,2537916982,5899,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2013,30,430417,3512261910,8160,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2014,30,430336,3671772116,8532,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2015,30,424136,3267120462,7703,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2016,30,421192,2992591630,7105,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Martin,2017,30,416507,2936335600,7050,091,B,Town/rural mix,EDR 9 - South Central,Southwest Minnesota
Mcleod,2009,23,245251,1098351479,4478,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2010,23,259292,1136140989,4382,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2011,23,256354,1134720591,4426,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2012,23,256358,1234704586,4816,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2013,23,255808,1533797182,5996,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2014,23,250945,1770272316,7054,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2015,23,249984,1856704893,7427,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2016,23,255129,1639708619,6427,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mcleod,2017,23,245921,1472384200,5987,085,C,Urban/town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2009,26,301688,932502662,3091,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2010,26,307246,991906084,3228,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2011,26,300809,1062059364,3531,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2012,26,300696,1188034271,3951,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2013,26,300598,1438282210,4785,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2014,26,300453,1561585771,5197,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2015,26,299544,1567597866,5233,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2016,26,299080,1520531557,5084,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Meeker,2017,26,300164,1537408900,5122,093,B,Town/rural mix,EDR 6E- Southwest Central,Central Minnesota
Mille Lacs,2009,25,110578,278636507,2520,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2010,25,116496,237711900,2041,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2011,25,111448,233641600,2096,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2012,25,108399,224025400,2067,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2013,25,106783,224480800,2102,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2014,25,105694,248319900,2349,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2015,25,105768,248042500,2345,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2016,25,106789,222424200,2083,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Mille Lacs,2017,25,109812,230300200,2097,095,C,Urban/town/rural mix,EDR 7E- East Central,Central Minnesota
Morrison,2009,46,509542,1024778926,2011,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2010,46,484471,986314439,2036,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2011,46,457435,934515646,2043,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2012,46,449625,940669021,2092,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2013,46,430796,938802098,2179,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2014,46,429376,950977456,2215,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2015,46,428000,975600293,2279,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2016,46,426114,975259360,2289,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Morrison,2017,46,380356,956989800,2516,097,B,Town/rural mix,EDR 5 - North Central,Northwest Minnesota
Mower,2009,34,406862,1548497300,3806,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2010,34,405969,1651975900,4069,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
Mower,2011,34,405635,1736094e3,4280,099,C,Urban/town/rural mix,EDR 10 - Southeast,Southeast Minnesota
